satellite,instrument,satellite-description,instrument-description
cluster-1,efw,CLUSTER-1,Electric Fields and Waves (EFW)
cluster-1,fgm,CLUSTER-1,Fluxgate Magnetometer (FGM)
cluster-1,peace,CLUSTER-1,Plasma Electron and Current Analyzer (PEACE)
cluster-1,rapid,CLUSTER-1,Research with Adaptive Particle Imaging Detectors (RAPID)
cluster-1,staff,CLUSTER-1,Spatio-Temporal Analysis of Field Fluctuations (STAFF)
cluster-1,wbd,CLUSTER-1,Wide Band Data (WBD)
cluster-1,whisper,CLUSTER-1,Waves of High Frequency and Sounder for Probing of Density by Relaxation (WHISPER)
cluster-2,cis,CLUSTER-2,Cluster Ion Spectrometry experiment (CIS)
cluster-2,edi,CLUSTER-2,Electron Drift Instrument (EDI)
cluster-2,efw,CLUSTER-2,Electric Fields and Waves (EFW)
cluster-2,fgm,CLUSTER-2,Fluxgate Magnetometer (FGM)
cluster-2,peace,CLUSTER-2,Plasma Electron and Current Analyzer (PEACE)
cluster-2,rapid,CLUSTER-2,Research with Adaptive Particle Imaging Detectors (RAPID)
cluster-2,staff,CLUSTER-2,Spatio-Temporal Analysis of Field Fluctuations (STAFF)
cluster-2,wbd,CLUSTER-2,Wide Band Data (WBD)
cluster-2,whisper,CLUSTER-2,Waves of High Frequency and Sounder for Probing of Density by Relaxation (WHISPER)
cluster-3,cis,CLUSTER-3,Cluster Ion Spectrometry experiment (CIS)
cluster-3,edi,CLUSTER-3,Electron Drift Instrument (EDI)
cluster-3,efw,CLUSTER-3,Electric Fields and Waves (EFW)
cluster-3,fgm,CLUSTER-3,Fluxgate Magnetometer (FGM)
cluster-3,peace,CLUSTER-3,Plasma Electron and Current Analyzer (PEACE)
cluster-3,rapid,CLUSTER-3,Research with Adaptive Particle Imaging Detectors (RAPID)
cluster-3,staff,CLUSTER-3,Spatio-Temporal Analysis of Field Fluctuations (STAFF)
cluster-3,wbd,CLUSTER-3,Wide Band Data (WBD)
cluster-3,whisper,CLUSTER-3,Waves of High Frequency and Sounder for Probing of Density by Relaxation (WHISPER)
cluster-4,cis,CLUSTER-4,Cluster Ion Spectrometry experiment (CIS)
cluster-4,edi,CLUSTER-4,Electron Drift Instrument (EDI)
cluster-4,efw,CLUSTER-4,Electric Fields and Waves (EFW)
cluster-4,fgm,CLUSTER-4,Fluxgate Magnetometer (FGM)
cluster-4,peace,CLUSTER-4,Plasma Electron and Current Analyzer (PEACE)
cluster-4,rapid,CLUSTER-4,Research with Adaptive Particle Imaging Detectors (RAPID)
cluster-4,staff,CLUSTER-4,Spatio-Temporal Analysis of Field Fluctuations (STAFF)
cluster-4,wbd,CLUSTER-4,Wide Band Data (WBD)
cluster-4,whisper,CLUSTER-4,Waves of High Frequency and Sounder for Probing of Density by Relaxation (WHISPER)
diademe-1,rra,Diademe-1,Retro-Reflector Array  (RRA)
diademe-2,rra,Diademe-2,Retro-Reflector Array  (RRA)
dmsp-17,sess-ssi-es-3,Defense Meteorological Satellite Program - F17 (DMSP-F17),SESS / Special Sensor Ionospheric Plasma Drift/Scintillation Monitor - 3 (SESS/SSI/ES-3)
