orbit-type,sensor-type,satellite,data-type,orbit-type-description,sensor-type-description,satellite-description,data-type-description
geo,x_ray_spectrograph,electro-l-n3,level-1,Geostationary orbit,x_ray_spectrograph,electro-l-n3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,electro-l-n4,level-0,Geostationary orbit,x_ray_spectrograph,electro-l-n4,Raw data at full instrument resolution.
geo,x_ray_spectrograph,electro-l-n4,level-1,Geostationary orbit,x_ray_spectrograph,electro-l-n4,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,fy-2g,level-0,Geostationary orbit,x_ray_spectrograph,fy-2g,Raw data at full instrument resolution.
geo,x_ray_spectrograph,fy-2g,level-1,Geostationary orbit,x_ray_spectrograph,fy-2g,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,fy-2h,level-0,Geostationary orbit,x_ray_spectrograph,fy-2h,Raw data at full instrument resolution.
geo,x_ray_spectrograph,fy-2h,level-1,Geostationary orbit,x_ray_spectrograph,fy-2h,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,fy-4c,level-0,Geostationary orbit,x_ray_spectrograph,fy-4c,Raw data at full instrument resolution.
geo,x_ray_spectrograph,fy-4c,level-1,Geostationary orbit,x_ray_spectrograph,fy-4c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,fy-4d,level-0,Geostationary orbit,x_ray_spectrograph,fy-4d,Raw data at full instrument resolution.
geo,x_ray_spectrograph,fy-4d,level-1,Geostationary orbit,x_ray_spectrograph,fy-4d,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,fy-4e,level-0,Geostationary orbit,x_ray_spectrograph,fy-4e,Raw data at full instrument resolution.
geo,x_ray_spectrograph,fy-4e,level-1,Geostationary orbit,x_ray_spectrograph,fy-4e,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,goes-14,level-0,Geostationary orbit,x_ray_spectrograph,goes-14,Raw data at full instrument resolution.
geo,x_ray_spectrograph,goes-14,level-1,Geostationary orbit,x_ray_spectrograph,goes-14,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,goes-16,level-0,Geostationary orbit,x_ray_spectrograph,goes-16,Raw data at full instrument resolution.
geo,x_ray_spectrograph,goes-16,level-1,Geostationary orbit,x_ray_spectrograph,goes-16,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,goes-17,level-0,Geostationary orbit,x_ray_spectrograph,goes-17,Raw data at full instrument resolution.
geo,x_ray_spectrograph,goes-17,level-1,Geostationary orbit,x_ray_spectrograph,goes-17,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
geo,x_ray_spectrograph,goes-18,level-0,Geostationary orbit,x_ray_spectrograph,goes-18,Raw data at full instrument resolution.
geo,x_ray_spectrograph,goes-18,level-1,Geostationary orbit,x_ray_spectrograph,goes-18,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
gso,solar_magnetograph,sdo,level-0,Geosynchronous orbit,solar_magnetograph,sdo,Raw data at full instrument resolution.
gso,solar_magnetograph,sdo,level-1,Geosynchronous orbit,solar_magnetograph,sdo,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,ace,level-0,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,ace,Raw data at full instrument resolution.
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,ace,level-1,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,ace,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,aditya-1,level-0,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,aditya-1,Raw data at full instrument resolution.
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,aditya-1,level-1,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,aditya-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,dscovr,level-0,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,dscovr,Raw data at full instrument resolution.
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,dscovr,level-1,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,dscovr,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,soho,level-0,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,soho,Raw data at full instrument resolution.
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,soho,level-1,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,soho,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,wind,level-0,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,wind,Raw data at full instrument resolution.
lagrange-l-1,energetic-particle-spectrometer-and-magnetometer,wind,level-1,Lagrange L1,energetic-particle-spectrometer-and-magnetometer,wind,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,solar_activity_monitor,aditya-1,level-0,Lagrange L1,solar_activity_monitor,aditya-1,Raw data at full instrument resolution.
lagrange-l-1,solar_activity_monitor,aditya-1,level-1,Lagrange L1,solar_activity_monitor,aditya-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,solar_activity_monitor,soho,level-0,Lagrange L1,solar_activity_monitor,soho,Raw data at full instrument resolution.
lagrange-l-1,solar_activity_monitor,soho,level-1,Lagrange L1,solar_activity_monitor,soho,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,solar_coronagraph,aditya-1,level-0,Lagrange L1,solar_coronagraph,aditya-1,Raw data at full instrument resolution.
lagrange-l-1,solar_coronagraph,aditya-1,level-1,Lagrange L1,solar_coronagraph,aditya-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,solar_coronagraph,soho,level-0,Lagrange L1,solar_coronagraph,soho,Raw data at full instrument resolution.
lagrange-l-1,solar_coronagraph,soho,level-1,Lagrange L1,solar_coronagraph,soho,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,solar_magnetograph,aditya-1,level-0,Lagrange L1,solar_magnetograph,aditya-1,Raw data at full instrument resolution.
lagrange-l-1,solar_magnetograph,aditya-1,level-1,Lagrange L1,solar_magnetograph,aditya-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lagrange-l-1,solar_magnetograph,soho,level-0,Lagrange L1,solar_magnetograph,soho,Raw data at full instrument resolution.
lagrange-l-1,solar_magnetograph,soho,level-1,Lagrange L1,solar_magnetograph,soho,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lunar,energetic-particle-spectrometer-and-magnetometer,artemis-p1,level-0,Lunar orbit,energetic-particle-spectrometer-and-magnetometer,artemis-p1,Raw data at full instrument resolution.
lunar,energetic-particle-spectrometer-and-magnetometer,artemis-p1,level-1,Lunar orbit,energetic-particle-spectrometer-and-magnetometer,artemis-p1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
lunar,energetic-particle-spectrometer-and-magnetometer,artemis-p2,level-0,Lunar orbit,energetic-particle-spectrometer-and-magnetometer,artemis-p2,Raw data at full instrument resolution.
lunar,energetic-particle-spectrometer-and-magnetometer,artemis-p2,level-1,Lunar orbit,energetic-particle-spectrometer-and-magnetometer,artemis-p2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
molniya,energetic-particle-spectrometer-and-magnetometer,arctica-m-n1,level-0,Molniya orbit,energetic-particle-spectrometer-and-magnetometer,arctica-m-n1,Raw data at full instrument resolution.
molniya,energetic-particle-spectrometer-and-magnetometer,arctica-m-n1,level-1,Molniya orbit,energetic-particle-spectrometer-and-magnetometer,arctica-m-n1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
molniya,energetic-particle-spectrometer-and-magnetometer,arctica-m-n2,level-0,Molniya orbit,energetic-particle-spectrometer-and-magnetometer,arctica-m-n2,Raw data at full instrument resolution.
molniya,energetic-particle-spectrometer-and-magnetometer,arctica-m-n2,level-1,Molniya orbit,energetic-particle-spectrometer-and-magnetometer,arctica-m-n2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
molniya,in_situ_plasma_probe,arctica-m-n1,level-0,Molniya orbit,in_situ_plasma_probe,arctica-m-n1,Raw data at full instrument resolution.
molniya,in_situ_plasma_probe,arctica-m-n1,level-1,Molniya orbit,in_situ_plasma_probe,arctica-m-n1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
molniya,in_situ_plasma_probe,arctica-m-n2,level-0,Molniya orbit,in_situ_plasma_probe,arctica-m-n2,Raw data at full instrument resolution.
molniya,in_situ_plasma_probe,arctica-m-n2,level-1,Molniya orbit,in_situ_plasma_probe,arctica-m-n2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
solar,energetic-particle-spectrometer-and-magnetometer,parker-solar-probe,level-0,Solar orbit,energetic-particle-spectrometer-and-magnetometer,parker-solar-probe,Raw data at full instrument resolution.
solar,energetic-particle-spectrometer-and-magnetometer,parker-solar-probe,level-1,Solar orbit,energetic-particle-spectrometer-and-magnetometer,parker-solar-probe,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
solar,energetic-particle-spectrometer-and-magnetometer,solar-orbiter,level-0,Solar orbit,energetic-particle-spectrometer-and-magnetometer,solar-orbiter,Raw data at full instrument resolution.
solar,energetic-particle-spectrometer-and-magnetometer,solar-orbiter,level-1,Solar orbit,energetic-particle-spectrometer-and-magnetometer,solar-orbiter,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
solar,solar_activity_monitor,parker-solar-probe,level-0,Solar orbit,solar_activity_monitor,parker-solar-probe,Raw data at full instrument resolution.
solar,solar_activity_monitor,parker-solar-probe,level-1,Solar orbit,solar_activity_monitor,parker-solar-probe,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
solar,solar_activity_monitor,solar-orbiter,level-0,Solar orbit,solar_activity_monitor,solar-orbiter,Raw data at full instrument resolution.
solar,solar_activity_monitor,solar-orbiter,level-1,Solar orbit,solar_activity_monitor,solar-orbiter,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
solar,solar_magnetograph,parker-solar-probe,level-0,Solar orbit,solar_magnetograph,parker-solar-probe,Raw data at full instrument resolution.
solar,solar_magnetograph,parker-solar-probe,level-1,Solar orbit,solar_magnetograph,parker-solar-probe,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
solar,solar_magnetograph,solar-orbiter,level-0,Solar orbit,solar_magnetograph,solar-orbiter,Raw data at full instrument resolution.
solar,solar_magnetograph,solar-orbiter,level-1,Solar orbit,solar_magnetograph,solar-orbiter,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,dmsp-f17,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,dmsp-f17,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,dmsp-f17,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,dmsp-f17,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,dmsp-f18,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,dmsp-f18,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,dmsp-f18,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,dmsp-f18,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,formosat-5,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,formosat-5,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,formosat-5,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,formosat-5,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,fy-3c,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,fy-3c,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,fy-3c,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,fy-3c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,fy-3d,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,fy-3d,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,fy-3d,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,fy-3d,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,fy-3e,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,fy-3e,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,fy-3e,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,fy-3e,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,fy-3f,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,fy-3f,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,fy-3f,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,fy-3f,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,gnomes-2,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,gnomes-2,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,gnomes-2,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,gnomes-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,gnomes-3,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,gnomes-3,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,gnomes-3,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,gnomes-3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,gnomes-4,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,gnomes-4,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,gnomes-4,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,gnomes-4,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,hy-2b,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,hy-2b,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,hy-2b,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,hy-2b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,kompsat-5,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,kompsat-5,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,kompsat-5,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,kompsat-5,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,lemur-2,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,lemur-2,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,lemur-2,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,lemur-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-2,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-2,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-2,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-3,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-3,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-3,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-4,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-4,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-4,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,meteor-m-n2-4,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,proba-2,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,proba-2,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,proba-2,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,proba-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,sentinel-3a,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,sentinel-3a,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,sentinel-3a,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,sentinel-3a,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,sentinel-3b,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,sentinel-3b,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,sentinel-3b,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,sentinel-3b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,sich-2-30,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,sich-2-30,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,sich-2-30,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,sich-2-30,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,tandem-x,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,tandem-x,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,tandem-x,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,tandem-x,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,terra,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,terra,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,terra,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,terra,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,terrasar-x,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,terrasar-x,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,terrasar-x,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,terrasar-x,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,th-1c,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,th-1c,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,th-1c,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,th-1c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,theos-1,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,theos-1,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,theos-1,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,theos-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,theos-2 main,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,theos-2 main,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,theos-2 main,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,theos-2 main,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,tianmu-1,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,tianmu-1,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,tianmu-1,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,tianmu-1,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,triton ,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,triton ,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,triton ,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,triton ,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,tropics-01,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,tropics-01,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,tropics-01,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,tropics-01,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,venus,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,venus,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,venus,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,venus,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,worldview-3,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,worldview-3,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,worldview-3,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,worldview-3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,zy-3-02,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,zy-3-02,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,zy-3-02,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,zy-3-02,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,energetic-particle-spectrometer-and-magnetometer,zy-3-03,level-0,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,zy-3-03,Raw data at full instrument resolution.
sso,energetic-particle-spectrometer-and-magnetometer,zy-3-03,level-1,Sun-synchronous orbit�,energetic-particle-spectrometer-and-magnetometer,zy-3-03,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,gravitometry,hy-2b,level-0,Sun-synchronous orbit�,gravitometry,hy-2b,Raw data at full instrument resolution.
sso,gravitometry,hy-2b,level-1,Sun-synchronous orbit�,gravitometry,hy-2b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,gravitometry,saral,level-0,Sun-synchronous orbit�,gravitometry,saral,Raw data at full instrument resolution.
sso,gravitometry,saral,level-1,Sun-synchronous orbit�,gravitometry,saral,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,dmsp-f17,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,dmsp-f17,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,dmsp-f17,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,dmsp-f17,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,dmsp-f18,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,dmsp-f18,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,dmsp-f18,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,dmsp-f18,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,formosat-5,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,formosat-5,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,formosat-5,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,formosat-5,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,fy-3c,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,fy-3c,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,fy-3c,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,fy-3c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,fy-3d,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,fy-3d,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,fy-3d,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,fy-3d,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,fy-3e,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,fy-3e,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,fy-3e,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,fy-3e,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,meteor-m-n2,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,meteor-m-n2,Raw data at full instrument resolution.
